Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Outward issue link (Cloners),Outward issue link (Relates),Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Deployed to Prod),Custom field (Impact to User),Custom field (Patch Description),Custom field (QA Feature),Custom field (QA Status),Custom field (Question Details),Custom field (Rank),Custom field (Severity),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Tester),Custom field (Ticket Health),Custom field (Triaged By),Custom field (ZaaS Rank),Comment,Comment,Comment
User can expand events view section,ZING-2233,65336,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,31/Jan/19 2:13 PM,20/Feb/19 2:26 PM,30/Mar/19 9:25 PM,20/Feb/19 2:26 PM,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689119,,rserrano,,,,,,,,,,20/Feb/19 2:26 PM,,,,QA needed,,0|w0053k:,3,,1,,Ticket Healthy,rserrano,0|i08cen:,,,
User can filter events in the events view,ZING-2232,65335,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,31/Jan/19 2:13 PM,20/Feb/19 2:26 PM,30/Mar/19 9:25 PM,20/Feb/19 2:26 PM,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689118,,rserrano,,,,,,,,,,20/Feb/19 2:26 PM,,,,QA needed,,0|w0053c:,3,,1,,Ticket Healthy,rserrano,0|i08cef:,,,
User can see events view filter by time,ZING-2230,65332,,Story,Ranked,ZING,ZING,software,ian,,,rserrano,rserrano,rserrano,31/Jan/19 1:08 PM,29/Mar/19 4:39 PM,29/Mar/19 4:39 PM,,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689117,,rserrano,,,,,,,,,,,,,,QA needed,,0|w0052o:,3,,,,Ticket Healthy,rserrano,0|i08cdr:,04/Feb/19 11:30 AM;rserrano;TEst,,
User can see events view check in big graph,ZING-2229,65331,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,31/Jan/19 12:59 PM,20/Feb/19 2:24 PM,30/Mar/19 9:25 PM,20/Feb/19 2:24 PM,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689116,,rserrano,,,,,,,,,,20/Feb/19 2:24 PM,,,,QA needed,,0|w0052g:,3,,1,,Ticket Healthy,rserrano,0|i08cdj:,,,
User can see events view,ZING-2228,65329,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,31/Jan/19 12:53 PM,20/Feb/19 2:23 PM,30/Mar/19 9:25 PM,20/Feb/19 2:23 PM,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689115,,rserrano,,,,,,,,,,20/Feb/19 2:23 PM,,,,QA automated,,0|w00520:,3,,3,dmorua,Ticket Healthy,rserrano,0|i08cd3:,,,
Create a group and an user to operate a Collection Zone,ZING-2166,65192,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 9:15 AM,20/Feb/19 2:19 PM,30/Mar/19 9:25 PM,20/Feb/19 2:19 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689083,,sgonzalez,,,,,,,,,,20/Feb/19 2:19 PM,,,,QA automated,,0|w00488:,3,,,,Ticket Healthy,rserrano,0|i08biv:,,,
Check inbox to confirm new user created,ZING-2165,65190,64999,Sub-Task,Closed Won't Do,ZING,ZING,software,ian,,Fixed,,sgonzalez,sgonzalez,28/Jan/19 9:00 AM,14/Feb/19 3:54 PM,30/Mar/19 9:25 PM,13/Feb/19 11:13 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689082,,sgonzalez,,,,,,,,,,,,,,QA not applicable,,0|w0047s:,3,,,,Ticket Healthy,rserrano,0|i08bif:,,,
Can not add an user with an invalid email format,ZING-2164,65189,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 8:54 AM,20/Feb/19 2:19 PM,30/Mar/19 9:25 PM,20/Feb/19 2:19 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689081,,sgonzalez,,,,,,,,,,20/Feb/19 2:19 PM,,,,QA automated,,0|w0047k:,3,,,,Ticket Healthy,,0|i08bi7:,,,
Verify user basic information,ZING-2161,65184,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,sgonzalez,sgonzalez,28/Jan/19 8:18 AM,08/Feb/19 11:50 AM,30/Mar/19 9:25 PM,08/Feb/19 11:50 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689080,,rserrano,sgonzalez,,,,,,,,,08/Feb/19 11:50 AM,,,,QA automated,,0|w0046o:,3,,,,Ticket Healthy,rserrano,0|i08bh3:,01/Feb/19 1:45 PM;rserrano;https://github.com/zenoss/zing-e2e/pull/134,,
Maximize an anomaly from an anomaly mark,ZING-2160,65183,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 8:11 AM,20/Feb/19 2:19 PM,30/Mar/19 9:25 PM,20/Feb/19 2:19 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689078,,sgonzalez,,,,,,,,,,20/Feb/19 2:19 PM,,,,QA automated,,0|w0046g:,3,,,,Ticket Healthy,,0|i08bgv:,,,
Verify a metric popup with metric information,ZING-2159,65182,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 8:04 AM,08/Feb/19 11:50 AM,30/Mar/19 9:25 PM,08/Feb/19 11:50 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689077,,sgonzalez,,,,,,,,,,08/Feb/19 11:50 AM,,,,QA automated,,0|w00468:,3,,,,Ticket Healthy,,0|i08bgn:,,,
Verify the vote value is saved,ZING-2158,65180,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 7:57 AM,08/Feb/19 11:50 AM,30/Mar/19 9:25 PM,08/Feb/19 11:50 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689076,,sgonzalez,,,,,,,,,,08/Feb/19 11:50 AM,,,,QA automated,,0|w0045s:,3,,,,Ticket Healthy,,0|i08bg7:,,,
Verify anomaly detection icon is disabled on anomalies absence,ZING-2157,65179,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 7:52 AM,20/Feb/19 2:19 PM,30/Mar/19 9:25 PM,20/Feb/19 2:19 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689074,,sgonzalez,,,,,,,,,,20/Feb/19 2:19 PM,,,,QA automated,,0|w0045k:,3,,,,Ticket Healthy,,0|i08bfz:,,,
Verify anomaly detection icon is enabled on anomalies presence,ZING-2156,65178,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 7:48 AM,20/Feb/19 2:18 PM,30/Mar/19 9:25 PM,20/Feb/19 2:18 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689073,,sgonzalez,,,,,,,,,,20/Feb/19 2:18 PM,,,,QA automated,,0|w0045c:,3,,,,Ticket Healthy,,0|i08bfr:,,,
Identify the primary metric from the all metrics section,ZING-2155,65177,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 7:45 AM,01/Feb/19 8:24 AM,30/Mar/19 9:25 PM,01/Feb/19 8:24 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689072,,sgonzalez,,,,,,,,,,01/Feb/19 8:24 AM,,,,QA automated,,0|w00454:,3,,,,Ticket Healthy,,0|i08bfj:,,,
Verify highlight metrics on all metrics section,ZING-2154,65176,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,28/Jan/19 7:41 AM,01/Feb/19 8:27 AM,30/Mar/19 9:25 PM,01/Feb/19 8:27 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689071,,sgonzalez,,,,,,,,,,01/Feb/19 8:27 AM,,,,QA not applicable,,0|w0044w:,3,,,,Ticket Healthy,,0|i08bfb:,,,
Create events related scenarios,ZING-2144,65146,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,25/Jan/19 7:09 AM,31/Jan/19 2:10 PM,30/Mar/19 9:25 PM,31/Jan/19 2:10 PM,,,,0,e2e,,,Work on creating scenarios for the events feature,,rserrano,,,,,,,,,,31/Jan/19 2:10 PM,,,,QA automated,,0|w003y8:,3,,,,Ticket Healthy,rserrano,0|i08b8n:,,,
Create theme related scenarios,ZING-2120,65091,,Defect,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,23/Jan/19 11:00 AM,31/Jan/19 2:10 PM,30/Mar/19 9:25 PM,28/Jan/19 10:39 AM,,,,0,e2e,,,Create scenarios to verify the proper functioning of the theme switch and validate UI changes,,rserrano,,,,,,,,,,28/Jan/19 10:39 AM,,,,QA automated,,0|w003mo:,3,,,,Ticket Healthy,rserrano,0|i08awf:,23/Jan/19 12:09 PM;rserrano;https://github.com/zenoss/zing-e2e/pull/119,,
Run e2e tests with light theme,ZING-2119,65090,,Defect,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,23/Jan/19 10:59 AM,28/Jan/19 10:38 AM,30/Mar/19 9:25 PM,28/Jan/19 10:38 AM,,,,0,e2e,,,Set a configuration setting to switch from light to dark theme on executions.,,rserrano,,,,,,,,,,28/Jan/19 10:38 AM,,,,QA automated,,0|w003mg:,3,,,,Ticket Healthy,,0|i08aw7:,,,
Write a maximum date time on picker inputs,ZING-2075,65010,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,21/Jan/19 11:38 AM,08/Feb/19 11:50 AM,30/Mar/19 9:25 PM,08/Feb/19 11:50 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689044,,sgonzalez,,,,,,,,,,08/Feb/19 11:50 AM,,,,QA automated,,0|w0035k:,3,,,,Ticket Healthy,,0|i08aef:,,,
Type something wrong on the date picker inputs,ZING-2074,65009,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,21/Jan/19 11:37 AM,08/Feb/19 11:50 AM,30/Mar/19 9:25 PM,08/Feb/19 11:50 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689043,,sgonzalez,,,,,,,,,,08/Feb/19 11:50 AM,,,,QA automated,,0|w0035c:,3,,,,Ticket Healthy,,0|i08ae7:,,,
Edit a start date higher than end date picker,ZING-2073,65008,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,21/Jan/19 11:36 AM,11/Feb/19 3:34 PM,30/Mar/19 9:25 PM,11/Feb/19 3:12 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689042,,sgonzalez,,,,,,,,,,11/Feb/19 3:12 PM,,,,QA automated,,0|w00354:,3,,,dmorua,Ticket Healthy,dmorua,0|i08adz:,,,
Edit a start date picker some days ago,ZING-2072,65007,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,21/Jan/19 11:35 AM,30/Jan/19 10:33 AM,30/Mar/19 9:25 PM,30/Jan/19 10:33 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689041,,sgonzalez,,,,,,,,,,30/Jan/19 10:33 AM,,,,QA automated,,0|w0034w:,3,,,,Ticket Healthy,dmorua,0|i08adr:,,,
Verify that user can not choose a date picker higher than current date,ZING-2071,65006,64999,Sub-Task,Closed Won't Do,ZING,ZING,software,ian,,Won't Do,,sgonzalez,sgonzalez,21/Jan/19 11:34 AM,19/Feb/19 2:22 PM,30/Mar/19 9:25 PM,19/Feb/19 2:21 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689040,,sgonzalez,,,,,,,,,,,,,,QA not applicable,,0|w0034o:,3,,,,Ticket Healthy,rserrano,0|i08adj:,,,
Verify that user can not choose a start date higher than end date picker,ZING-2070,65005,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,21/Jan/19 11:33 AM,15/Feb/19 3:03 PM,30/Mar/19 9:25 PM,11/Feb/19 3:35 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689039,,dmorua,rserrano,sgonzalez,,,,,,,,11/Feb/19 3:35 PM,,,,QA not applicable,,0|w0034g:,3,,,,Ticket Healthy,dmorua,0|i08adb:,11/Feb/19 3:34 PM;dmorua;The scope of this TC is within the scope of ZING-2073. Done.,15/Feb/19 3:03 PM;rserrano;Update: https://testrail.zenoss.com/index.php?/cases/view/5689039,
Choose a start date picker some days ago,ZING-2069,65004,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,21/Jan/19 11:32 AM,20/Feb/19 9:45 AM,30/Mar/19 9:25 PM,20/Feb/19 9:45 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689038,,sgonzalez,,,,,,,,,,20/Feb/19 9:45 AM,,,,QA automated,,0|w00348:,3,,,,Ticket Healthy,dmorua,0|i08ad3:,,,
Search using multiple properties in the quick search header,ZING-2068,65003,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,sgonzalez,sgonzalez,21/Jan/19 11:31 AM,30/Jan/19 7:48 AM,30/Mar/19 9:25 PM,30/Jan/19 7:48 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689037,,rserrano,sgonzalez,,,,,,,,,30/Jan/19 7:48 AM,,,,QA automated,,0|w00340:,3,,,,Ticket Healthy,rserrano,0|i08acv:,29/Jan/19 1:53 PM;rserrano;https://github.com/zenoss/zing-e2e/pull/128,,
Search entities in Smartview and the quick search header,ZING-2067,65002,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,sgonzalez,sgonzalez,21/Jan/19 11:30 AM,30/Jan/19 7:47 AM,30/Mar/19 9:25 PM,30/Jan/19 7:47 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689036,,rserrano,sgonzalez,,,,,,,,,30/Jan/19 7:47 AM,,,,QA automated,,0|w0033s:,3,,,,Ticket Healthy,rserrano,0|i08acn:,29/Jan/19 1:54 PM;rserrano;https://github.com/zenoss/zing-e2e/pull/128,,
Look for an entity in the quick search header section,ZING-2066,65001,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,sgonzalez,sgonzalez,21/Jan/19 11:29 AM,30/Jan/19 7:47 AM,30/Mar/19 9:25 PM,30/Jan/19 7:47 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689035,,rserrano,sgonzalez,,,,,,,,,30/Jan/19 7:47 AM,,,,QA automated,,0|w0033k:,3,,,,Ticket Healthy,rserrano,0|i08acf:,29/Jan/19 1:53 PM;rserrano;https://github.com/zenoss/zing-e2e/pull/128,,
Look for some entity that does not exist,ZING-2065,65000,64999,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,21/Jan/19 11:28 AM,28/Jan/19 10:45 AM,30/Mar/19 9:25 PM,28/Jan/19 10:45 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5689034,,sgonzalez,,,,,,,,,,28/Jan/19 10:45 AM,,,,QA automated,,0|w0033c:,3,,,,Ticket Healthy,dmorua,0|i08ac7:,,,
Testrail Test Cases to automate on NW framework,ZING-2064,64999,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,,sgonzalez,sgonzalez,21/Jan/19 11:26 AM,01/Mar/19 8:55 AM,30/Mar/19 9:25 PM,01/Mar/19 8:55 AM,,,,0,e2e,,,This story contains some test cases that QA has on Testrail. The idea is to automate them on NightwatchJS framework with the `regression` tag.,,sgonzalez,,,,,,,,,,01/Mar/19 8:55 AM,,,,QA not applicable,,0|w00334:,3,,,,Ticket Healthy,wgerber,0|i08abz:,,,
The `z-nav` class should be on the Smartview header top menu,ZING-2041,64931,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,17/Jan/19 4:14 PM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,21/Jan/19 12:53 PM,,,,0,e2e,,,TC:[ https://jira.zenoss.com/browse/ZING-1814|https://testrail.zenoss.com/index.php?/cases/view/5679737],,sgonzalez,,,,,,ZING-1814,,,,22/Jan/19 7:47 AM,,,,QA automated,,0|w002o0:,3,,,,Ticket Healthy,dmorua,0|i089wv:,,,
Create an API framework on NightwatchJS automation,ZING-2036,64911,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,16/Jan/19 9:59 PM,01/Feb/19 8:29 AM,30/Mar/19 9:25 PM,01/Feb/19 8:29 AM,,,,0,e2e,,,"There are some test cases to automate that need some preconditions, for example, to test this filter: [http://i.imgur.com/Oq73kjr.png], we need to have created some users, currently, we need to add them by UI (it's slow) before to start the test, so if we would have some API methods, we could execute them (just to prepare our test environment), after, the test could be normally executed by UI (the idea is just to increase the framework performance).",,sgonzalez,,,,,,,,,,01/Feb/19 8:29 AM,,,,QA automated,,0|w002jk:,3,,,sgonzalez,Ticket Healthy,,0|i089sf:,,,
User can add group with a role to an app,ZING-2030,64867,64595,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,15/Jan/19 1:43 PM,31/Jan/19 2:11 PM,30/Mar/19 9:25 PM,22/Jan/19 8:34 AM,,,,0,e2e,,,https://testrail.zenoss.loc/index.php?/cases/view/5665694,,rserrano,,,,,,,,,,22/Jan/19 8:34 AM,,,,QA automated,,0|w002ag:,3,,,,Ticket Healthy,rserrano,0|i089in:,22/Jan/19 7:13 AM;rserrano;https://github.com/zenoss/zing-e2e/pull/115,,
A user with a group with a valid role assign can login ￼,ZING-2029,64866,64595,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,15/Jan/19 1:18 PM,31/Jan/19 2:11 PM,30/Mar/19 9:25 PM,22/Jan/19 8:34 AM,,,,0,e2e,,,"Scenario: A user with a group with a valid role assign can login
https://testrail.zenoss.loc/index.php?/cases/view/5665693&group_by=cases:section_id&group_order=asc&group_id=547523",,rserrano,,,,,,,,,,22/Jan/19 8:34 AM,,,,QA automated,,0|w002a8:,3,,,,Ticket Healthy,rserrano,0|i089if:,,,
Developing a strategy to implement generic users and groups names per execution,ZING-2018,64796,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,11/Jan/19 3:47 PM,12/Feb/19 2:35 PM,30/Mar/19 9:25 PM,12/Feb/19 2:35 PM,,,,0,e2e,,,"Currently, the framework is using the same emails to create users and groups name to create groups, so it could cause clashes when the automation is running on parallel tenants or developers on the same time. To avoid things like this: [https://i.imgur.com/CYM44d1.png] (someone else created the same user before)",,sgonzalez,,,,,,,,,,12/Feb/19 2:35 PM,,,,QA automated,,0|w001uo:,3,,,,Ticket Healthy,,0|i0892v:,,,
Verify confirmation window modal when closing/adding some group/user,ZING-1979,64714,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rzino,sgonzalez,sgonzalez,09/Jan/19 8:57 AM,28/Jan/19 10:45 AM,30/Mar/19 9:25 PM,11/Jan/19 8:57 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665592,,rserrano,sgonzalez,,,,,ZING-1800,,,,28/Jan/19 10:34 AM,,,,QA automated,,0|w001cw:,3,,,,Ticket Healthy,,0|i088kn:,09/Jan/19 9:50 AM;rserrano;https://jira.zenoss.com/browse/ZING-1800,,
Buttons throughout ZUI should match style guide specs,ZING-1978,64713,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,09/Jan/19 8:56 AM,28/Jan/19 10:35 AM,30/Mar/19 9:25 PM,28/Jan/19 10:35 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665591,,rserrano,sgonzalez,,,,,ZING-1710,,,,28/Jan/19 10:35 AM,,,,QA automated,,0|w001co:,3,,,,Ticket Healthy,,0|i088kf:,09/Jan/19 9:49 AM;rserrano;https://jira.zenoss.com/browse/ZING-1710,,
Verify the calendar input icon size,ZING-1977,64712,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,09/Jan/19 8:55 AM,21/Jan/19 11:33 AM,30/Mar/19 9:25 PM,21/Jan/19 11:33 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665590,,rserrano,sgonzalez,,,,,ZING-1624,,,,21/Jan/19 11:33 AM,,,,QA automated,,0|w001cg:,3,,,,Ticket Healthy,,0|i088k7:,09/Jan/19 9:49 AM;rserrano;https://jira.zenoss.com/browse/ZING-1624,,
Verify animation transition on metrics promotion process,ZING-1976,64711,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,09/Jan/19 8:53 AM,21/Jan/19 11:33 AM,30/Mar/19 9:25 PM,16/Jan/19 5:10 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665589,,dmorua,rserrano,sgonzalez,,,,ZING-745,,,,21/Jan/19 11:33 AM,,,,QA not applicable,,0|w001c8:,3,,,,Ticket Healthy,dmorua,0|i088jz:,09/Jan/19 9:49 AM;rserrano;https://jira.zenoss.com/browse/ZING-745,18/Jan/19 9:41 AM;dmorua;Not going to automatable after review,
Verify the delete icon size,ZING-1975,64710,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,09/Jan/19 8:53 AM,21/Jan/19 11:33 AM,30/Mar/19 9:25 PM,21/Jan/19 11:33 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665588,,rserrano,sgonzalez,,,,,ZING-1835,,,,21/Jan/19 11:33 AM,,,,QA automated,,0|w001c0:,3,,,,Ticket Healthy,,0|i088jr:,09/Jan/19 9:49 AM;rserrano;https://jira.zenoss.com/browse/ZING-1835,,
The big graph time slider should match visual design,ZING-1974,64709,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,09/Jan/19 8:52 AM,21/Jan/19 11:34 AM,30/Mar/19 9:25 PM,16/Jan/19 8:54 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665587,,rserrano,sgonzalez,,,,,ZING-756,,,,21/Jan/19 11:34 AM,,,,QA automated,,0|w001bs:,3,,,,Ticket Healthy,dmorua,0|i088jj:,09/Jan/19 9:48 AM;rserrano;https://jira.zenoss.com/browse/ZING-756,,
Set precise date range ,ZING-1973,64708,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,bmoskalyk,sgonzalez,sgonzalez,09/Jan/19 8:51 AM,21/Jan/19 11:34 AM,30/Mar/19 9:25 PM,21/Jan/19 11:34 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665586,,rserrano,sgonzalez,,,,,ZING-750,,,,21/Jan/19 11:34 AM,,,,QA not applicable,,0|w001bk:,3,,,,Ticket Healthy,bmoskalyk,0|i088jb:,09/Jan/19 9:48 AM;rserrano;https://jira.zenoss.com/browse/ZING-750,,
Verify the button text colors on both themes,ZING-1972,64707,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,09/Jan/19 8:43 AM,28/Jan/19 10:34 AM,30/Mar/19 9:25 PM,28/Jan/19 10:34 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665584,,rserrano,sgonzalez,,,,,ZING-1844,,,,28/Jan/19 10:34 AM,,,,QA automated,,0|w001bc:,3,,,,Ticket Healthy,,0|i088j3:,09/Jan/19 9:47 AM;rserrano;https://jira.zenoss.com/browse/ZING-1844,,
Icon inside button should not disappear on hover,ZING-1971,64706,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,09/Jan/19 8:42 AM,21/Jan/19 11:34 AM,30/Mar/19 9:25 PM,14/Jan/19 4:06 PM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665583,,rserrano,sgonzalez,,,,,ZING-1900,,,,21/Jan/19 11:34 AM,,,,QA automated,,0|w001b4:,3,,,,Ticket Healthy,dmorua,0|i088iv:,09/Jan/19 9:47 AM;rserrano;https://jira.zenoss.com/browse/ZING-1900,,
Confirm the delete icon visibility,ZING-1970,64705,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,euribe,sgonzalez,sgonzalez,09/Jan/19 8:41 AM,21/Jan/19 11:42 AM,30/Mar/19 9:25 PM,21/Jan/19 11:42 AM,,,,0,e2e,,,TC: https://testrail.zenoss.com/index.php?/cases/view/5665582,,rserrano,sgonzalez,,,,,ZING-1902,,,,21/Jan/19 11:42 AM,,,,QA automated,,0|w001aw:,3,,,,Ticket Healthy,,0|i088in:,09/Jan/19 9:46 AM;rserrano;https://jira.zenoss.com/browse/ZING-1902,,
Verify browser back button work navigating back to CZ from Smart View,ZING-1969,64704,64703,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rzino,sgonzalez,sgonzalez,09/Jan/19 8:41 AM,28/Jan/19 10:44 AM,30/Mar/19 9:25 PM,15/Jan/19 8:54 AM,,,,0,e2e,,,TC: [https://testrail.zenoss.com/index.php?/cases/view/5665576] or look the image  !scenario_description.png|thumbnail!,,rserrano,sgonzalez,,,,,ZING-626,14/Jan/19 12:06 PM;sgonzalez;scenario_description.png;https://jira.zenoss.com/secure/attachment/58493/scenario_description.png,,,28/Jan/19 10:32 AM,,,,QA automated,,0|w001ao:,3,,,,Ticket Healthy,,0|i088if:,09/Jan/19 9:45 AM;rserrano;https://jira.zenoss.com/browse/ZING-626,,
Automate some scenarios from close tickets,ZING-1968,64703,,Story,In Progress,ZING,ZING,software,ian,,,,sgonzalez,sgonzalez,09/Jan/19 8:38 AM,15/Jan/19 10:58 AM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"To increase the regression testing coverage, the idea is to automate new scenarios from some tickets that were closed, to detect if they happen in the future.

 

Note: The original ticket is documented as `References` on Testrail test case (where you can see more details about it).",,sgonzalez,,,,,,,,,,,,,,QA not applicable,,0|w001ag:,3,,,,Ticket Healthy,,0|i088i7:,,,
